# **************************************
# CV factory defaults
# D23F0001
# **************************************
cv[001]  :   3, 0x03, 0b00000011, *
cv[002]  :   1, 0x01, 0b00000001, *
cv[003]  :   8, 0x08, 0b00001000, *
cv[004]  :   8, 0x08, 0b00001000, *
cv[005]  : 255, 0xff, 0b11111111, *
cv[006]  : 128, 0x80, 0b10000000, *
cv[007]  :  35, 0x23, 0b00100011, *
cv[008]  :  13, 0x0d, 0b00001101, *
cv[009]  :   1, 0x01, 0b00000001, *
cv[010]  : 100, 0x64, 0b01100100, *
cv[011]  :  16, 0x10, 0b00010000, *
cv[012]  :   4, 0x04, 0b00000100, *
cv[013]  :   0, 0x00, 0b00000000, *
cv[014]  :   0, 0x00, 0b00000000, *
cv[015]  :   1, 0x01, 0b00000001, *
cv[016]  :   1, 0x01, 0b00000001, *
cv[017]  : 195, 0xc3, 0b11000011, *
cv[018]  : 232, 0xe8, 0b11101000, *
cv[019]  :   0, 0x00, 0b00000000, *
cv[020]  :   0, 0x00, 0b00000000, *
cv[021]  :   0, 0x00, 0b00000000, *
cv[022]  :   0, 0x00, 0b00000000, *
cv[023]  :   0, 0x00, 0b00000000, *
cv[024]  :   0, 0x00, 0b00000000, *
cv[025]  : ---, ----, ----------, undefined
cv[026]  : ---, ----, ----------, undefined
cv[027]  :   0, 0x00, 0b00000000, *
cv[028]  : 158, 0x9e, 0b10011110, *
cv[029]  :  10, 0x0a, 0b00001010, *
cv[030]  :   0, 0x00, 0b00000000, *
cv[031]  :   0, 0x00, 0b00000000, *
cv[032]  : 255, 0xff, 0b11111111, *
cv[033]  : ---, ----, ----------, undefined
cv[034]  : ---, ----, ----------, undefined
cv[035]  : ---, ----, ----------, undefined
cv[036]  : ---, ----, ----------, undefined
cv[037]  : ---, ----, ----------, undefined
cv[038]  : ---, ----, ----------, undefined
cv[039]  : ---, ----, ----------, undefined
cv[040]  : ---, ----, ----------, undefined
cv[041]  : ---, ----, ----------, undefined
cv[042]  : ---, ----, ----------, undefined
cv[043]  : ---, ----, ----------, undefined
cv[044]  : ---, ----, ----------, undefined
cv[045]  : ---, ----, ----------, undefined
cv[046]  : ---, ----, ----------, undefined
